username,display_name,description,location,followers_count,following_count,statuses_count,created_at,person_vs_organization,comments
alexp_ecb,Alex pr 🇳🇱,sou sofredor de  @ecbahia  e  @chelseaFC #forarezende,"Salvador, Brasil",184.0,1196.0,2822.0,January 2020,1,brazilian football giveaway
alpsina89,Sina alp,,,87.0,651.0,40.0,April 2024,2,name only undetermined
ak1980777,五郎人格,,,0.0,46.0,58.0,March 2024,2,private account
7usiy,7,,,347.0,25.0,66.0,December 2022,2,private account
alphard1black,Alphard (Taylor's Version),I salute you if you’re much too much to handle.,The Tortured Poets Department,4211.0,920.0,0.0,June 2020,1,iranian personal account
alistai73159680,Alistair Mckenzie,,,12.0,116.0,198.0,April 2022,2,food content aggregator
___tw1tt3r___,tw1tt3r,,,18.0,558.0,494.0,April 2022,1,iranian protest account
_hqaddomi,Hisham Qaddoumi,,,33.0,359.0,247.0,August 2022,2,science content aggregator
4freedom4iran,Freedom,,,18.0,214.0,682.0,September 2022,1,iranian opposition account
__dokhtarak,Emily,,,13.0,184.0,75.0,August 2021,1,iranian personal account
al_firas999,Firas Al Mashhadani,,"Sulaymaniyah, Iraq",26.0,162.0,43.0,September 2025,1,iraqi news account
7_ndala,معتز بالله الجنوبي,,,15.0,92.0,17.0,November 2025,2,suspended account
aliabc1500,Ali,,,58.0,203.0,8.0,September 2025,1,iranian opposition activist
alikarimdoost91,علی کریمدوست پهمدانی,پیج اصلی علی کریمدوست پهمدانی,"Irani, Brasil",554.0,7490.0,4649.0,September 2025,1,iranian diaspora brazil
_irani_mohammad,MhmmdShajarian,,,8.0,1774.0,58.0,December 2020,1,private iranian handle
ali_geraei,Mohammad Ali Geraei,"Greco-Roman Wrestler. 77 KG. Fighter Challenger. 2017 World Bronze Medalist. ""To Have Face is to Have Wings"" #Falcon on his way to 2020 Olympics","Iran, Shiraz",221.0,18.0,28.0,March 2018,1,iranian wrestler shiraz
addh66,Azita Irani,,,14.0,122.0,0.0,July 2013,1,iranian surname no posts
afshinzare1,Afshin Zare,Actor & Composer,Islamic Republic of Iran,3.0,97.0,13.0,July 2012,1,iranian actor composer
aliramez2,Aliramez,,,7.0,57.0,105.0,July 2014,1,iranian personal account
ahmdlkarim,Ahmd Abd Lkarim,,,2.0,17.0,8.0,April 2017,1,lebanese arabic account
a_nazari99,A Nazari,"To Achieve Victory, One Must Plan",Islamic Republic of Iran,21.0,276.0,1.0,March 2020,1,located iran no posts
alborznazariz,Alborz Nazari,"Software Engineer | Seasonal CLI Wanderer  I'm about Games, Softwares, Sales, Analytics and Education.",Spain,147.0,310.0,1959.0,March 2021,1,iranian engineer spain
abingdon_arms,The Abingdon Arms,"A destination village pub in Beckley, Oxford. Serving sensational locally sourced produced at a fair price! Pop in to see us","Beckley, Oxford",51.0,163.0,63.0,November 2019,0,english village pub
alisakhravi80,Alisakhravi,لغتي هويتي الاحواز,Spain,18.0,333.0,4.0,May 2024,1,ahwazi arab spain
ahmedstv1,ahmedstv _احمد سبورت تيفي,Scout كشاف اللاعبين  اعلامي رياضي sports analyst To advertise products Garipadam2015@outlook.com My youtube channel,Iraq,385.0,41.0,102.0,August 2019,2,iraqi sports media
34gwr77liku4hw8,احمد رمزي,,,18.0,450.0,4.0,June 2021,2,arabic hashtag account
abdollahram,Abdollah Ramezanzadeh,استادیار بازنشسته دانشکده حقوق و علوم سیاسی دانشگاه تهران.  مسئولیتی در قبال نظراتی که کاربران زیر توییت‌هایم می‌نویسند ندارم. Retweet is not endorsement,,0.0,1102.0,3497.0,April 2015,1,iranian reformist academic
3ccmke,Third Coast Cinema,,"Milwaukee, WI",1.0,154.0,0.0,September 2025,2,private account
3pm_est,R,,"New York, USA",1.0,85.0,0.0,December 2025,2,private account
aa1915898,احمدعلام صيادالبحار,فنان,مصر,9.0,312.0,4.0,December 2024,1,egyptian artist account
akramipmp,Saeed Akrami,,,13.0,166.0,0.0,May 2025,2,persian name no content
ahsan2026bs,Muhammad Hassan (Ahsan),An Ordinary Caliph of Allah,"Piplan, Pakistan",1.0,72.0,4.0,November 2025,1,pakistani news account
aliiiiinaderi8,🌋Ali Naderi,,,18.0,645.0,0.0,July 2025,2,persian name no content
aliabz429014,Ali Abz,,,27.0,563.0,0.0,October 2024,2,no content undetermined
abusamer1990528,Samer,,,8.0,277.0,0.0,November 2023,2,arabic name no content
alir33al,Ali,◉⃤,,0.0,70.0,0.0,March 2025,2,no content undetermined
abrahymahm53406,احمد ابراهيم,,,1.0,70.0,0.0,November 2025,2,arabic name no content
aboliparande,aboliparande,,,1.0,53.0,0.0,December 2025,2,empty account
aboalfazlm79456,aliiii,,,48.0,367.0,3.0,May 2024,2,persian crypto spam
27484b,xcxcxc,,,0.0,495.0,0.0,January 2024,2,private account
alinazari42166,Ali Nazari,,,4.0,75.0,0.0,December 2025,2,persian name no content
abina310186,H,,,0.0,590.0,0.0,September 2024,2,private account
abdulrahma74533,Abdulrahman iphone,,,2.0,100.0,0.0,November 2025,2,suspended account
abdullahpa7203,Abdullah palta,,,0.0,85.0,0.0,December 2025,2,account not found
_atefehshams_,عاطفه شمس,روزنامه‌نگار,,4.0,50.0,0.0,August 2025,2,persian journalist bio
abuzar42172607,abuzar,,,0.0,94.0,0.0,November 2022,2,no content undetermined
alirezapunteha,alireza punteha,,,4.0,311.0,0.0,November 2022,2,persian name no content
alisakar030,Ali Şakar,,,6.0,164.0,0.0,December 2025,2,turkish name no content
abdollahia64050,Ashoo Abdollahi,,,3.0,64.0,0.0,November 2025,2,persian name no content
abbasali690448,abbas ali,,,0.0,65.0,0.0,December 2025,2,no content undetermined
42potatoesss,Ishita Dasgupta,,,1.0,77.0,0.0,October 2023,1,indian name empty
almlkzhyr76434,زهير الملك,,,8.0,116.0,0.0,December 2025,2,arabic name no content
amaeibahar30792,Bahareh Amaei,,,1.0,83.0,0.0,July 2025,2,persian name no content
a_fallahzadeh,Amir Fallahzadeh,,,1.0,222.0,1.0,June 2023,2,persian name no content
4ltgmlpx61671,Payton Brown 4LtgmLpx,,,3.0,195.0,0.0,November 2025,2,suspended account
alawamiaqe84264,Aqeela Alawami,,,8.0,130.0,4.0,January 2024,1,arabic personal account
___cfilm,🎞️,,,0.0,424.0,4.0,March 2023,2,no content undetermined
alian2025,adele alian,,,1.0,58.0,0.0,May 2025,2,no content undetermined
aliazarids,Ali Azari,,,7.0,66.0,0.0,October 2025,1,iranian academic commentary
ahmedjamal41147,Ahmed Jamal,,,0.0,78.0,0.0,November 2025,2,arabic name no content
adriirov,Adri,,,0.0,49.0,0.0,December 2025,2,no content undetermined
ahmadiaman84324,Amanllah Ahmadi,,,5.0,65.0,0.0,November 2025,2,afghan name no content
ajmaldashti17,Ajmal Dashti,,,0.0,81.0,0.0,August 2025,2,afghan name no content
ahmadi_abb27030,abbas ahmadi,,,9.0,191.0,0.0,April 2025,1,iranian personal tehran
afrasimoha50416,Mohammad Afrasi,,,0.0,59.0,0.0,June 2024,2,persian name empty
afra7172,Afra,,,8.0,178.0,1.0,July 2025,2,no content undetermined
akiali43488770,Aki Ali,,,0.0,48.0,0.0,November 2022,2,no content undetermined
akmalkhan186861,Akmal Khan,,,4.0,49.0,1.0,July 2025,2,spam bot account
ali_arsalan72,Ali Arsalan,,,32.0,9.0,0.0,July 2018,2,no content undetermined
abdusamad_aa,Абдусамад,,,5.0,30.0,1.0,June 2017,1,central asian account
afintlarabic,أفغانستان إنترناشيونال - عربي,لمتابعة آخر الأخبار والتحليلات السياسية حول أفغانستان لحظة بلحظة,"London, UK",3268.0,8.0,2083.0,June 2021,0,afghanistan international arabic
aliamoayed,Alireza A. Moayed,,,4.0,31.0,0.0,July 2017,2,persian name no content
ai_risks,Center for AI Safety,Reducing societal-scale risks from AI. safe.ai ai-frontiers.org,San Francisco,7911.0,2.0,227.0,August 2022,2,account not found
akash551788875,Akash55,,,0.0,13.0,31.0,October 2024,2,crypto spam account
alokobra1643794,alokobra,,,0.0,39.0,10.0,September 2025,2,no content undetermined
alimohammadkhn,A.M,,,1.0,24.0,13.0,December 2025,2,account not found
aidin_og,آیـدیـنـم یا شاید یه انسان غمگین ؛,خسته ام ؛,,0.0,8.0,27.0,December 2025,1,iranian personal account
ahora9090,Ahora,instagram.com/hoseinshahamatt life style,,3.0,44.0,26.0,October 2025,1,iranian lifestyle account
